School Type,Teacher-to-student ratio,Attendance,Mathematics Books,Mock result,NECTA result
Government,164,75,Not Own Book,C,0
Government,187,70,Own a Book,F,0
Government,161,56,Not Own Book,F,0
Government,186,51,Not Own Book,F,1
Private,69,91,Own a Book,A,1
Private,63,99,Own a Book,B,1
Government,184,73,Not Own Book,C,1
Government,200,76,Not Own Book,F,0
Private,61,81,Own a Book,C,1
Government,124,80,Not Own Book,F,0
Private,72,95,Own a Book,A,1
Private,99,83,Own a Book,A,1
Private,83,91,Not Own Book,B,1
Government,90,52,Not Own Book,F,0
Government,145,77,Own a Book,D,0
Government,138,64,Not Own Book,F,0
Private,57,79,Own a Book,A,1
Government,145,74,Own a Book,D,0
Private,70,75,Own a Book,C,1
Private,69,90,Not Own Book,A,1
Private,68,80,Own a Book,B,1
Government,216,56,Own a Book,F,0
Private,69,88,Own a Book,B,1
Private,75,86,Own a Book,C,1
Private,74,98,Own a Book,C,1
Government,127,57,Own a Book,D,0
Government,153,83,Not Own Book,D,1
Private,75,80,Own a Book,C,1
Government,153,79,Own a Book,F,0
Private,62,95,Own a Book,A,1
Government,140,73,Own a Book,A,1
Private,86,82,Not Own Book,D,1
Government,141,54,Own a Book,D,0
Private,77,74,Own a Book,B,1
Government,157,88,Own a Book,F,0
Private,81,85,Own a Book,A,1
Government,175,58,Not Own Book,D,0
Private,72,79,Own a Book,B,1
Private,61,89,Own a Book,C,1
Government,95,66,Not Own Book,F,0
Government,195,50,Not Own Book,F,0
Government,184,78,Not Own Book,F,0
Government,179,73,Not Own Book,D,0
Private,87,99,Own a Book,B,1
Private,72,95,Not Own Book,A,1
Private,65,66,Not Own Book,F,0
Private,60,97,Own a Book,C,1
Private,58,96,Own a Book,B,1
Government,204,62,Own a Book,F,0
Government,127,65,Own a Book,D,0
Government,197,74,Not Own Book,C,1
Government,141,59,Not Own Book,F,0
Government,119,67,Not Own Book,C,1
Private,58,95,Own a Book,A,1
Private,66,91,Own a Book,A,1
Government,213,63,Not Own Book,D,0
Private,58,95,Not Own Book,B,1
Government,245,73,Own a Book,D,0
Government,112,72,Own a Book,B,1
Government,183,64,Not Own Book,F,0
Private,72,87,Own a Book,B,1
Government,135,62,Not Own Book,F,0
Government,92,50,Not Own Book,D,1
Government,145,67,Not Own Book,D,0
Private,57,87,Own a Book,C,1
Private,50,88,Not Own Book,B,1
Government,155,82,Own a Book,B,1
Government,121,63,Own a Book,D,0
Private,100,85,Own a Book,A,1
Private,90,93,Not Own Book,C,1
Private,100,82,Not Own Book,C,1
Private,64,89,Own a Book,D,1
Private,77,85,Own a Book,A,1
Government,60,67,Own a Book,C,0
Government,137,77,Own a Book,B,1
Government,154,66,Not Own Book,F,0
Government,156,77,Not Own Book,F,1
Government,148,50,Not Own Book,F,0
Private,75,77,Own a Book,C,1
Government,60,50,Not Own Book,C,1
Government,161,58,Not Own Book,F,0
Private,82,99,Own a Book,C,1
Government,210,69,Not Own Book,D,0
Government,166,62,Not Own Book,F,0
Private,73,93,Own a Book,C,1
Private,91,94,Own a Book,B,1
Government,60,57,Own a Book,C,1
Private,67,99,Own a Book,C,1
Private,63,89,Own a Book,A,1
Government,148,74,Own a Book,C,1
Private,50,91,Own a Book,A,1
Government,209,74,Not Own Book,F,0
Government,138,63,Not Own Book,D,0
Government,164,91,Not Own Book,B,1
Government,160,67,Own a Book,F,0
Government,206,79,Own a Book,F,0
Private,50,84,Own a Book,C,1
Private,76,83,Not Own Book,C,1
Private,92,99,Own a Book,A,1
Private,73,87,Own a Book,A,1
Private,60,87,Not Own Book,D,1
Private,65,89,Own a Book,B,1
Government,132,92,Not Own Book,C,1
Private,64,99,Own a Book,A,1
Government,143,82,Own a Book,C,1
Private,97,99,Own a Book,D,1
Government,123,60,Not Own Book,F,0
Government,128,76,Not Own Book,D,0
Private,81,88,Own a Book,A,1
Government,142,52,Own a Book,F,0
Private,55,91,Own a Book,D,1
Private,74,84,Not Own Book,B,1
Private,73,98,Own a Book,A,1
Private,89,85,Not Own Book,F,0
Private,60,84,Own a Book,A,1
Private,89,98,Own a Book,A,1
Government,145,69,Not Own Book,F,0
Government,100,81,Not Own Book,A,1
Private,55,90,Not Own Book,B,1
Private,104,91,Own a Book,A,1
Government,142,67,Not Own Book,F,0
Private,89,91,Own a Book,B,1
Government,73,68,Own a Book,B,1
Private,114,82,Not Own Book,D,1
Government,190,68,Own a Book,C,1
Private,71,97,Not Own Book,B,1
Government,136,75,Not Own Book,C,1
Government,183,77,Not Own Book,C,0
Private,85,88,Not Own Book,B,1
Private,77,74,Own a Book,A,1
Private,75,79,Not Own Book,F,1
Government,175,67,Own a Book,C,1
Government,71,58,Not Own Book,F,0
Private,69,84,Not Own Book,D,0
Government,75,64,Own a Book,D,1
Private,84,84,Own a Book,A,1
Government,119,84,Not Own Book,F,1
Government,79,69,Not Own Book,D,0
Government,114,79,Own a Book,C,1
Private,77,89,Own a Book,B,1
Private,71,97,Own a Book,A,1
Private,57,95,Own a Book,A,1
Private,50,83,Own a Book,B,1
Private,76,99,Own a Book,C,1
Government,123,65,Not Own Book,D,1
Government,138,72,Own a Book,D,0
Government,142,73,Own a Book,B,1
Government,169,74,Own a Book,C,1
Government,188,77,Not Own Book,B,1
Private,77,82,Not Own Book,C,1
Government,135,77,Own a Book,A,1
Private,75,92,Own a Book,A,1
Private,69,88,Own a Book,B,1
Government,76,68,Not Own Book,D,0
Government,199,61,Own a Book,B,1
Government,190,74,Own a Book,D,0
Government,239,63,Own a Book,F,0
Government,252,72,Own a Book,F,0
Private,57,87,Own a Book,B,1
Government,134,56,Own a Book,A,1
Private,112,81,Own a Book,C,1
Private,74,90,Own a Book,C,1
Private,78,84,Own a Book,A,1
Government,81,64,Not Own Book,D,1
Government,156,62,Not Own Book,A,1
Private,103,82,Not Own Book,A,1
Government,207,86,Own a Book,F,0
Private,65,80,Own a Book,F,0
Government,132,84,Not Own Book,A,1
Private,58,85,Own a Book,C,1
Private,62,83,Not Own Book,F,0
Government,64,73,Not Own Book,F,0
Private,73,88,Own a Book,D,1
Government,217,68,Own a Book,F,0
Private,80,89,Own a Book,B,1
Private,95,88,Own a Book,D,1
Government,198,67,Own a Book,F,0
Government,125,79,Not Own Book,D,1
Government,115,55,Own a Book,F,0
Private,64,81,Own a Book,C,1
Private,50,82,Own a Book,B,1
Government,151,59,Own a Book,B,1
Private,50,88,Own a Book,A,1
Government,176,75,Not Own Book,D,1
Private,76,74,Own a Book,F,0
Government,171,65,Own a Book,D,1
Private,90,85,Own a Book,A,1
Private,77,85,Own a Book,C,1
Government,223,57,Not Own Book,F,0
Government,177,66,Not Own Book,F,0
Private,63,81,Own a Book,C,1
Private,71,85,Own a Book,A,1
Government,60,52,Own a Book,D,0
Government,109,66,Not Own Book,D,1
Government,132,62,Own a Book,D,0
Government,174,67,Not Own Book,F,0
Government,116,73,Own a Book,D,1
Government,93,69,Not Own Book,C,1
Government,65,77,Own a Book,D,1
Government,123,66,Not Own Book,D,1
Government,237,76,Not Own Book,B,1
Government,162,81,Not Own Book,C,0
Private,89,89,Not Own Book,C,1
Private,61,87,Own a Book,D,1
Private,51,90,Own a Book,A,1
Private,56,90,Own a Book,A,1
Government,145,80,Not Own Book,F,0
Private,50,93,Own a Book,D,1
Private,59,93,Not Own Book,B,1
Private,66,88,Own a Book,D,1
Government,90,73,Not Own Book,D,0
Government,60,73,Not Own Book,B,1
Private,79,79,Own a Book,F,0
Government,152,80,Not Own Book,C,1
Government,185,53,Own a Book,F,0
Private,58,92,Not Own Book,F,0
Private,86,89,Own a Book,D,1
Government,218,67,Own a Book,D,0
Government,161,73,Not Own Book,D,0
Private,65,90,Own a Book,A,1
Private,77,78,Own a Book,C,1
Private,65,97,Own a Book,A,1
Government,112,70,Not Own Book,F,0
Government,180,92,Not Own Book,D,0
Government,143,77,Own a Book,F,0
Private,93,88,Own a Book,D,1
Government,130,63,Own a Book,A,1
Government,134,68,Not Own Book,F,0
Private,66,89,Own a Book,A,1
Private,58,98,Own a Book,B,1
Private,87,96,Own a Book,B,1
Government,248,74,Not Own Book,D,1
Government,132,87,Not Own Book,F,0
Private,64,73,Own a Book,A,1
Government,116,74,Own a Book,C,1
Government,119,82,Not Own Book,C,1
Government,224,75,Not Own Book,D,0
Government,117,56,Own a Book,D,1
Government,123,83,Own a Book,C,0
Government,94,77,Own a Book,F,0
Private,79,90,Own a Book,A,1
Private,73,88,Own a Book,A,1
Government,98,89,Not Own Book,D,0
Government,109,74,Own a Book,B,1
Private,97,86,Own a Book,A,1
Private,75,82,Not Own Book,B,1
Government,154,77,Own a Book,D,1
Government,154,79,Not Own Book,A,1
Government,212,70,Not Own Book,C,1
Private,59,84,Own a Book,B,1
Government,132,83,Not Own Book,C,0
Government,142,61,Not Own Book,F,0
Government,72,89,Not Own Book,F,1
Private,61,82,Not Own Book,A,1
Private,90,79,Own a Book,A,1
Government,184,58,Not Own Book,D,0
Government,192,58,Not Own Book,F,0
Government,123,67,Not Own Book,F,1
Private,68,84,Own a Book,B,1
Private,50,95,Own a Book,B,1
Private,88,94,Own a Book,F,0
Government,199,67,Own a Book,A,1
Government,198,92,Own a Book,D,0
Private,99,86,Own a Book,A,1
Private,81,87,Own a Book,C,1
Government,220,57,Own a Book,C,1
Government,140,69,Not Own Book,F,0
Private,50,90,Own a Book,D,1
Private,87,79,Own a Book,D,1
Government,68,65,Not Own Book,C,1
Private,77,90,Own a Book,C,1
Private,89,84,Own a Book,B,1
Private,79,82,Own a Book,B,1
Private,109,93,Own a Book,C,1
Government,61,57,Not Own Book,B,1
Private,73,80,Own a Book,A,1
Government,150,71,Own a Book,B,1
Private,54,93,Own a Book,A,1
Government,98,73,Not Own Book,A,1
Private,62,86,Own a Book,A,1
Private,58,85,Own a Book,A,1
Private,73,95,Own a Book,D,1
Government,122,78,Own a Book,F,0
Government,164,70,Not Own Book,D,1
Government,179,67,Not Own Book,C,1
Government,176,70,Own a Book,F,0
Private,68,82,Own a Book,A,1
Government,162,68,Own a Book,D,0
Government,196,65,Own a Book,D,1
Government,170,68,Not Own Book,F,1
Government,233,65,Not Own Book,C,0
Private,89,91,Own a Book,A,1
Private,100,93,Own a Book,C,1
Government,60,66,Own a Book,D,1
Government,154,61,Not Own Book,C,1
Government,135,77,Not Own Book,C,1
Government,144,71,Not Own Book,B,1
Government,113,66,Not Own Book,F,0
Government,167,83,Not Own Book,C,1
Private,50,84,Own a Book,A,1
Private,81,74,Not Own Book,F,0
Private,63,83,Own a Book,A,1
Government,127,86,Not Own Book,D,1
Private,81,85,Own a Book,A,1
Private,76,84,Own a Book,B,1
Government,197,70,Not Own Book,F,0
Private,60,95,Not Own Book,D,1
Government,146,69,Not Own Book,F,0
Government,189,75,Own a Book,F,0
Private,80,86,Own a Book,C,1
Private,81,92,Own a Book,A,1
Private,91,89,Own a Book,B,1
Private,68,85,Own a Book,B,1
Government,122,72,Own a Book,B,1
Government,175,64,Not Own Book,D,0
Government,143,56,Not Own Book,D,0
Private,91,87,Own a Book,D,1
Government,166,57,Own a Book,F,0
Private,65,92,Not Own Book,C,1
Government,165,69,Own a Book,F,1
Private,61,97,Own a Book,B,1
Government,192,66,Not Own Book,A,1
Private,54,87,Not Own Book,D,1
Private,93,77,Own a Book,B,1
Government,164,58,Own a Book,C,1
Government,142,53,Own a Book,F,0
Government,184,80,Not Own Book,F,0
Private,82,84,Not Own Book,A,1
Private,94,97,Own a Book,C,1
Private,94,69,Own a Book,D,0
Government,165,85,Own a Book,B,1
Government,110,69,Own a Book,B,1
Government,125,73,Not Own Book,F,0
Private,73,80,Own a Book,D,0
Government,198,75,Not Own Book,F,0
Government,129,66,Own a Book,F,0
Government,133,58,Not Own Book,F,0
Private,102,79,Own a Book,B,1
Private,73,79,Own a Book,B,1
Government,121,73,Own a Book,C,1
Government,184,63,Not Own Book,D,0
Government,147,53,Not Own Book,C,1
Private,54,90,Own a Book,A,1
Private,90,72,Not Own Book,B,1
Government,116,83,Not Own Book,F,0
Private,75,99,Not Own Book,A,1
Government,146,56,Not Own Book,C,1
Government,160,80,Not Own Book,C,1
Private,50,90,Own a Book,A,1
Private,69,84,Own a Book,D,1
Private,91,84,Not Own Book,F,0
Private,93,92,Own a Book,C,1
Government,105,69,Own a Book,C,1
Government,191,50,Not Own Book,F,0
Government,115,90,Own a Book,B,1
Government,133,74,Not Own Book,F,0
Government,135,69,Not Own Book,F,0
Private,76,82,Not Own Book,B,1
Private,90,86,Own a Book,F,0
Private,78,96,Own a Book,B,1
Government,144,72,Not Own Book,D,0
Private,89,90,Own a Book,D,1
Private,62,79,Own a Book,B,1
Private,73,85,Own a Book,F,0
Government,194,70,Not Own Book,B,1
Government,173,76,Not Own Book,F,0
Government,129,65,Not Own Book,F,0
Private,52,94,Own a Book,A,1
Private,79,79,Own a Book,F,0
Private,51,88,Own a Book,D,1
Government,140,69,Not Own Book,A,1
Government,203,54,Own a Book,F,0
Private,83,87,Own a Book,A,1
Private,50,83,Own a Book,B,1
Government,159,84,Own a Book,D,0
Private,70,85,Not Own Book,B,1
Government,92,73,Not Own Book,F,1
Government,165,57,Not Own Book,F,0
Private,67,89,Own a Book,A,1
Private,67,85,Not Own Book,D,1
Government,155,62,Not Own Book,D,1
Private,65,99,Own a Book,B,1
Government,154,66,Not Own Book,D,1
Government,123,67,Not Own Book,F,0
Government,125,79,Own a Book,F,0
Private,89,82,Own a Book,C,1
Government,199,74,Not Own Book,F,0
Government,73,75,Not Own Book,B,1
Private,86,89,Not Own Book,C,1
Private,95,99,Own a Book,B,1
Private,98,82,Own a Book,A,1
Private,82,98,Own a Book,C,1
Government,102,74,Own a Book,D,0
Government,178,79,Not Own Book,C,1
Government,110,73,Not Own Book,F,0
Government,134,88,Not Own Book,D,0
Government,167,66,Own a Book,F,0
Government,113,74,Not Own Book,F,0
Government,98,83,Not Own Book,F,0
Government,170,64,Own a Book,A,1
Government,234,80,Own a Book,D,1
Government,205,69,Own a Book,D,0
Private,85,79,Own a Book,C,1
Private,89,77,Not Own Book,D,1
Government,178,69,Not Own Book,C,1
Private,81,94,Not Own Book,B,1
Government,190,50,Not Own Book,F,0
Government,88,72,Not Own Book,C,1
Private,77,94,Own a Book,B,1
Private,73,79,Own a Book,C,1
Government,153,63,Not Own Book,D,0
Government,129,75,Not Own Book,C,1
Government,173,78,Own a Book,D,0
Government,113,86,Own a Book,A,1
Government,125,64,Not Own Book,B,1
Private,65,82,Own a Book,D,1
Government,188,86,Not Own Book,B,1
Private,74,82,Own a Book,A,1
Private,68,91,Own a Book,C,1
Private,69,99,Own a Book,A,1
Government,150,77,Not Own Book,D,0
Government,222,77,Own a Book,D,0
Government,94,82,Not Own Book,C,1
Government,180,75,Not Own Book,B,1
Government,171,77,Own a Book,A,1
Private,61,85,Own a Book,B,1
Private,97,96,Own a Book,C,1
Government,174,74,Own a Book,B,1
Private,67,77,Own a Book,B,1
Government,66,72,Not Own Book,F,0
Government,160,50,Own a Book,D,0
Government,147,77,Not Own Book,D,0
Government,103,67,Own a Book,C,1
Private,59,99,Own a Book,B,1
Government,189,74,Not Own Book,F,0
Government,61,79,Not Own Book,A,1
Government,164,59,Not Own Book,F,0
Private,72,92,Own a Book,C,1
Private,82,83,Not Own Book,A,1
Government,136,80,Own a Book,A,1
Government,163,58,Own a Book,D,0
Private,63,88,Own a Book,D,1
Private,74,79,Not Own Book,C,1
Private,82,88,Own a Book,F,0
Private,77,99,Own a Book,A,1
Private,80,93,Own a Book,C,1
Government,108,69,Not Own Book,B,1
Government,123,50,Own a Book,D,0
Private,66,84,Own a Book,A,1
Private,70,91,Own a Book,D,1
Government,211,64,Own a Book,F,0
Private,69,97,Own a Book,A,1
Government,98,70,Not Own Book,C,1
Private,83,95,Not Own Book,A,1
Private,95,89,Not Own Book,B,1
Private,56,86,Not Own Book,A,1
Private,104,84,Own a Book,C,1
Government,168,59,Not Own Book,F,0
Government,196,80,Own a Book,F,0
Private,97,85,Own a Book,B,1
Government,193,75,Not Own Book,F,0
Private,73,84,Not Own Book,A,1
Government,204,59,Not Own Book,F,0
Private,78,91,Not Own Book,C,0
Private,91,82,Not Own Book,C,1
Government,203,65,Not Own Book,F,0
Private,58,79,Not Own Book,C,1
Private,86,84,Own a Book,D,1
Government,141,70,Own a Book,C,1
Private,77,85,Not Own Book,A,1
Private,76,93,Own a Book,B,1
Government,153,71,Not Own Book,F,0
Private,97,99,Own a Book,B,1
Government,88,74,Own a Book,F,0
Government,72,52,Own a Book,D,0
Government,63,67,Not Own Book,D,1
Government,198,68,Own a Book,F,0
Private,63,83,Own a Book,B,1
Government,155,70,Not Own Book,D,0
Government,144,63,Not Own Book,F,0
Government,110,73,Own a Book,F,0
Private,87,74,Own a Book,A,1
Government,144,81,Not Own Book,C,1
Government,139,54,Not Own Book,F,0
Government,160,67,Not Own Book,F,0
Government,182,62,Not Own Book,F,0
Private,60,90,Own a Book,C,1
Private,88,86,Own a Book,A,1
Government,215,72,Not Own Book,F,0
Private,53,95,Own a Book,B,1
Government,162,77,Not Own Book,B,1
Government,136,70,Own a Book,F,1
Private,85,91,Own a Book,B,1
Private,56,99,Own a Book,A,1
Government,223,78,Not Own Book,C,1
Government,77,67,Own a Book,C,1
Private,71,96,Not Own Book,A,1
Private,81,90,Own a Book,A,1
Private,64,81,Own a Book,B,1
Government,112,68,Own a Book,C,1
Government,160,55,Not Own Book,D,0
Government,153,50,Own a Book,F,0
Government,150,60,Not Own Book,F,0
Government,188,71,Not Own Book,F,0
Private,69,88,Own a Book,D,1
Private,79,78,Own a Book,A,1
Government,127,50,Not Own Book,B,0
Private,62,98,Not Own Book,B,1
Government,137,70,Not Own Book,D,1
Private,67,98,Own a Book,A,1
Private,68,98,Not Own Book,B,1
Government,202,77,Not Own Book,F,0
Private,71,88,Own a Book,B,1
Government,120,66,Not Own Book,C,1
Private,75,93,Own a Book,A,1
Government,154,68,Own a Book,F,0
Private,57,83,Own a Book,D,0
Private,70,73,Own a Book,C,1
Government,134,69,Not Own Book,F,0
Government,142,80,Not Own Book,F,0
Private,85,96,Own a Book,A,1
Government,156,70,Not Own Book,D,0
Private,93,81,Own a Book,A,1
Government,149,79,Not Own Book,C,1
Private,101,87,Not Own Book,D,0
Government,129,66,Own a Book,F,0
Government,115,55,Not Own Book,F,0
Government,174,91,Own a Book,C,1
Private,95,93,Own a Book,C,1
Government,87,78,Not Own Book,A,1
Government,141,61,Own a Book,D,1
Private,65,88,Own a Book,B,1
Private,77,87,Own a Book,B,1
Private,75,93,Own a Book,F,0
Government,210,83,Not Own Book,D,1
Private,73,77,Not Own Book,A,1
Private,95,80,Own a Book,C,1
Government,135,76,Not Own Book,B,1
Government,191,64,Not Own Book,D,0
Private,78,93,Own a Book,A,1
Government,227,66,Not Own Book,F,0
Government,83,57,Not Own Book,D,1
Government,97,52,Not Own Book,F,0
Private,102,91,Own a Book,C,1
Government,117,75,Not Own Book,F,0
Government,119,79,Not Own Book,D,1
Government,110,73,Not Own Book,F,0
Government,201,50,Not Own Book,F,1
Private,56,91,Own a Book,B,1
Private,75,77,Own a Book,F,0
Government,138,51,Not Own Book,F,0
Government,196,50,Not Own Book,F,0
Government,124,50,Own a Book,D,1
Government,168,72,Not Own Book,D,0
Government,97,62,Not Own Book,F,0
Private,109,77,Own a Book,C,1
Private,71,88,Own a Book,C,1
Private,75,80,Own a Book,B,1
Government,224,79,Not Own Book,F,0
Private,66,98,Own a Book,C,1
Government,225,67,Own a Book,F,0
Government,131,83,Own a Book,B,1
Government,180,83,Own a Book,D,1
Government,124,70,Not Own Book,A,1
Government,88,87,Own a Book,B,1
Government,168,63,Own a Book,F,0
Government,178,50,Not Own Book,F,0
Government,90,54,Own a Book,A,1
Government,136,63,Not Own Book,F,1
Government,204,75,Not Own Book,C,1
Government,177,58,Not Own Book,D,0
Government,132,63,Not Own Book,F,0
Private,66,79,Own a Book,B,1
Government,237,63,Own a Book,F,0
Government,84,83,Not Own Book,A,1
Private,74,90,Own a Book,A,1
Private,53,83,Own a Book,B,1
Private,94,96,Own a Book,B,1
Government,149,70,Not Own Book,D,1
Private,77,88,Own a Book,A,1
Private,116,95,Own a Book,C,1
Private,66,85,Own a Book,C,1
Government,228,79,Not Own Book,F,0
Government,132,78,Not Own Book,B,1
Government,139,68,Not Own Book,F,0
Private,114,78,Own a Book,A,1
Government,142,70,Own a Book,F,0
Government,88,81,Own a Book,D,0
Private,79,93,Own a Book,A,1
Private,72,99,Own a Book,A,1
Government,166,65,Not Own Book,C,1
Government,143,77,Not Own Book,F,1
Government,249,59,Not Own Book,F,0
Government,175,72,Not Own Book,D,0
Private,58,95,Own a Book,A,1
Private,76,94,Own a Book,D,1
Government,114,71,Not Own Book,F,0
Government,138,67,Not Own Book,C,1
Government,109,60,Own a Book,B,1
Private,106,86,Not Own Book,D,1
Government,118,56,Not Own Book,F,0
Government,180,66,Own a Book,F,0
Private,70,75,Own a Book,A,1
Government,97,56,Own a Book,F,0
Government,158,78,Not Own Book,D,0
Government,168,77,Own a Book,C,0
Private,83,85,Own a Book,B,1
Government,60,70,Not Own Book,F,0
Government,94,71,Not Own Book,A,1
Government,193,74,Not Own Book,F,0
Private,61,90,Own a Book,A,1
Government,159,56,Not Own Book,F,0
Government,93,50,Own a Book,F,0
Private,85,80,Not Own Book,C,1
Government,191,68,Own a Book,B,1
Government,182,79,Not Own Book,F,0
Private,90,89,Own a Book,B,1
Private,98,91,Own a Book,D,1
Private,57,81,Not Own Book,C,1
Government,114,69,Own a Book,F,0
Government,190,70,Own a Book,B,1
Government,200,62,Not Own Book,F,0
Private,64,80,Own a Book,B,1
Private,63,86,Own a Book,A,1
Government,120,76,Own a Book,C,1
Private,50,81,Not Own Book,F,0
Private,55,86,Not Own Book,A,1
Government,93,83,Not Own Book,D,1
Government,136,64,Not Own Book,D,0
Government,162,70,Not Own Book,C,1
Private,81,87,Own a Book,C,1
Private,67,86,Own a Book,A,1
Government,128,86,Not Own Book,F,0
Private,76,90,Own a Book,B,1
Government,82,54,Not Own Book,D,1
Private,89,98,Own a Book,A,1
Government,207,72,Not Own Book,C,0
Private,65,85,Own a Book,B,1
Government,132,83,Not Own Book,B,1
Government,205,62,Own a Book,F,0
Private,73,99,Own a Book,B,1
Private,83,88,Not Own Book,A,1
Government,145,80,Own a Book,A,1
Government,220,92,Not Own Book,F,0
Government,172,71,Not Own Book,C,0
Private,83,87,Own a Book,C,1
Government,175,59,Own a Book,D,0
Private,66,87,Own a Book,B,1
Government,129,59,Own a Book,C,1
Government,184,68,Own a Book,F,0
Government,155,92,Not Own Book,C,0
Government,97,71,Own a Book,A,1
Government,234,64,Not Own Book,F,0
Private,89,86,Own a Book,C,1
Private,75,85,Own a Book,A,1
Government,137,80,Not Own Book,C,1
Government,158,69,Not Own Book,D,0
Private,82,99,Own a Book,A,1
Government,60,66,Not Own Book,C,1
Private,106,86,Not Own Book,C,1
Government,114,61,Not Own Book,F,0
Government,149,66,Not Own Book,F,0
Government,151,52,Own a Book,F,0
Government,239,50,Not Own Book,F,0
Private,73,92,Own a Book,B,1
Private,98,75,Not Own Book,B,1
Government,168,74,Own a Book,C,1
Private,60,84,Not Own Book,B,1
Government,156,79,Not Own Book,A,1
Private,73,75,Own a Book,C,1
Government,101,75,Not Own Book,D,0
Private,80,90,Own a Book,A,1
Private,75,90,Own a Book,B,1
Private,83,95,Own a Book,A,1
Government,158,70,Not Own Book,F,0
Government,120,50,Not Own Book,F,0
Government,184,74,Not Own Book,F,0
Government,121,73,Not Own Book,D,0
Government,60,67,Not Own Book,D,0
Government,155,61,Not Own Book,D,0
Private,66,85,Own a Book,A,1
Government,167,84,Own a Book,D,0
Government,239,60,Own a Book,B,1
Government,241,52,Not Own Book,F,0
Private,72,77,Own a Book,B,1
Private,62,87,Own a Book,C,1
Government,176,86,Not Own Book,D,0
Private,69,99,Own a Book,B,1
Private,80,92,Own a Book,B,1
Government,120,60,Own a Book,D,0
Government,161,61,Own a Book,C,0
Government,113,78,Own a Book,C,1
Government,203,83,Not Own Book,C,1
Government,123,63,Not Own Book,F,0
Government,179,84,Own a Book,B,1
Private,56,86,Own a Book,F,0
Government,185,77,Not Own Book,F,0
Government,106,81,Not Own Book,F,0
Private,78,77,Not Own Book,A,1
Government,196,74,Not Own Book,C,1
Government,141,84,Not Own Book,D,1
Private,59,84,Own a Book,C,1
Private,82,80,Not Own Book,B,1
Private,62,91,Own a Book,A,1
Private,68,88,Own a Book,B,1
Private,78,85,Own a Book,B,1
Government,211,69,Own a Book,F,0
Government,151,53,Own a Book,D,0
Private,75,90,Own a Book,A,1
Private,86,99,Own a Book,C,1
Government,152,62,Not Own Book,F,0
Government,178,61,Not Own Book,F,0
Government,198,71,Not Own Book,F,0
Government,135,92,Not Own Book,F,0
Government,60,80,Own a Book,F,1
Private,62,87,Not Own Book,A,1
Government,204,70,Not Own Book,F,0
Government,148,81,Own a Book,C,1
Private,69,81,Own a Book,A,1
Private,92,92,Own a Book,A,1
